,words,amounts,entropies
2977,retroceso,208,2.2
2119,molesto,185,2.115
511,suponer,4077,2.104
5188,echar,186,2.059
2702,decididamente,337,2.041
1305,previsto,4033,2.039
6587,tranquilidad,146,1.999
6237,retroceder,93,1.989
2183,frenar,625,1.979
4229,renunciar,582,1.979
32,él,324828,1.977
3149,ceder,218,1.969
2941,rotundamente,243,1.96
1537,menor,3715,1.953
107,espantoso,304,1.951
2631,suerte,2057,1.944
5982,engañar,597,1.94
2079,escaso,1153,1.939
684,vía,2988,1.937
109,horrible,576,1.935
1275,fallo,781,1.935
588,mayor,30619,1.921
7033,giro,103,1.92
2235,atenuar,104,1.918
1518,perjudicar,1017,1.916
4894,eludir,438,1.91
296,completo,5827,1.875
123,materia,7220,1.871
1785,eliminación,1975,1.862
898,amplio,8142,1.859
382,dirigir,2993,1.857
899,grande,17776,1.856
7085,indiscutible,286,1.85
265,tratar,15708,1.843
943,aprovechar,1805,1.833
1863,rápido,7251,1.819
2098,disminuir,1474,1.817
3934,anular,394,1.81
7020,ahogar,238,1.81
889,malestar,201,1.805
3236,estancado,86,1.805
8115,inclinar,124,1.805
2704,firmeza,775,1.797
691,notablemente,482,1.792
104,sinceramente,1699,1.768
294,poder,225027,1.768
3608,pista,265,1.766
5734,sumergir,87,1.765
297,totalmente,9145,1.764
544,elaboración,1567,1.763
1736,impulsar,1945,1.762
626,mal,3316,1.758
658,examen,1810,1.755
1006,comprometer,3148,1.754
5883,derribar,96,1.754
7262,vendedor,247,1.754
2835,prolongado,339,1.749
1705,precisión,864,1.747
721,poner,14595,1.746
1152,restablecimiento,301,1.74
1119,medio,21132,1.735
1689,prever,2896,1.732
8210,basura,273,1.729
3218,enérgico,190,1.727
2556,reactivación,116,1.724
1198,sostener,986,1.72
4267,vertido,326,1.719
221,último,39852,1.717
420,inconveniente,363,1.714
887,descontento,335,1.714
1860,marcha,987,1.713
5573,paralización,63,1.713
10231,dureza,48,1.712
6962,foco,73,1.71
2257,nefasto,151,1.708
2486,supresión,1113,1.705
1970,iniciar,4358,1.704
1786,deshacer,73,1.702
2706,contundente,73,1.699
3708,estrechar,96,1.699
2529,descartar,235,1.692
1126,soportar,553,1.691
2580,desplazamiento,683,1.69
947,costa,3185,1.689
8995,asfixiar,57,1.688
11483,paralizado,181,1.686
2340,notable,1214,1.685
5496,tópico,73,1.684
273,gran,28212,1.683
2253,reconversión,248,1.683
1081,llevar,13167,1.678
1656,chocar,145,1.675
2578,pegar,129,1.675
435,vez,29988,1.674
5005,repugnante,112,1.672
1848,sincero,1722,1.671
10290,copresidente,91,1.67
5202,hundir,263,1.668
4831,burlar,114,1.663
694,pesar,5144,1.662
1589,estallar,205,1.662
7067,prudencia,409,1.658
1317,cerca,3511,1.656
494,continuo,2161,1.654
4743,santo,487,1.654
4691,raro,977,1.653
10781,desconcertante,114,1.652
5722,cría,351,1.648
4858,artesano,98,1.647
156,referir,10850,1.646
122,respecto,18220,1.645
233,adecuado,11071,1.645
937,pasar,8883,1.642
416,admisible,371,1.637
5464,involuntario,93,1.636
342,orientar,480,1.634
3285,franqueza,299,1.633
347,salir,3030,1.631
2177,apresurado,67,1.63
1668,cargar,198,1.628
2014,suprimir,1235,1.625
2133,destacar,6420,1.625
76,molestar,383,1.621
8197,folleto,234,1.619
5240,descarga,152,1.614
883,perplejo,100,1.612
5913,fiesta,112,1.612
5532,asolar,61,1.61
10701,implacable,118,1.61
4152,desviar,338,1.609
2733,sorprendente,1369,1.608
5449,correo,813,1.599
1351,tremendamente,113,1.598
564,evidente,6233,1.595
395,parecer,23627,1.594
2820,corriente,263,1.59
2280,ajustar,797,1.589
2520,vencer,325,1.588
2911,traba,36,1.586
1889,deficiente,365,1.585
3509,indudable,128,1.583
2246,deficiencia,1727,1.581
2734,sorprender,1286,1.578
3994,aparato,878,1.578
9393,cordón,40,1.577
3242,perjudicado,124,1.576
3383,corona,102,1.576
5641,arrasar,35,1.576
77,dejar,14287,1.575
1353,disculpar,546,1.574
3658,meter,38,1.574
4731,pienso,313,1.574
3134,extrañar,296,1.569
3335,meritorio,36,1.568
2402,agravar,683,1.567
7747,descabellado,31,1.566
911,enormemente,921,1.564
1229,afrontar,2850,1.563
65,considerar,18636,1.562
238,conveniente,685,1.562
5768,indignado,106,1.562
6486,tonto,211,1.562
6993,disparo,116,1.561
8721,hábil,51,1.561
701,seguir,32429,1.56
5257,habitualmente,207,1.56
5981,engaño,205,1.559
7201,asustar,180,1.559
808,vergonzoso,727,1.557
3780,manifiesto,289,1.557
12553,canto,84,1.556
9272,harina,234,1.555
1397,hoja,797,1.552
5128,panorama,445,1.552
4988,agitación,100,1.551
2939,enérgicamente,444,1.55
5278,baja,199,1.547
823,además,17505,1.544
3779,reorientar,91,1.54
8948,depositario,43,1.54
7571,interrupción,550,1.539
3161,probabilidad,937,1.537
4854,racionalización,322,1.535
7818,arrancar,62,1.535
8339,arco,140,1.534
2724,revitalización,147,1.533
8906,inquebrantable,62,1.533
548,elaborado,1023,1.531
8996,sofocar,60,1.531
915,transmitir,2113,1.529
3003,despreciar,108,1.529
3655,desorden,159,1.529
1024,fundamentalmente,1182,1.527
2131,subrayar,6412,1.527
110,solicitar,6225,1.526
2647,destinado,3099,1.525
3707,endurecimiento,97,1.524
2116,molestia,175,1.523
80,conseguir,12105,1.522
1376,consejero,207,1.522
3752,difusión,624,1.52
12571,multimillonario,102,1.518
5368,precipitar,172,1.516
832,seguro,12533,1.515
991,frente,4006,1.514
286,igual,5111,1.513
1318,cercano,1085,1.513
2694,descenso,530,1.513
769,bombero,224,1.511
3359,agotar,368,1.511
6499,exagerar,249,1.511
5229,navegar,330,1.509
1862,rapidez,2008,1.507
2073,gusto,547,1.507
5371,precipitado,109,1.507
1450,quedar,4755,1.506
5035,mancha,99,1.506
4339,bonito,511,1.505
1032,volver,7894,1.504
15138,improvisado,62,1.504
3709,exhaustivamente,67,1.502
1733,impulso,1957,1.501
1953,eficacia,5408,1.501
3124,devolución,442,1.5
1660,aeronáutico,227,1.497
15452,deportista,182,1.497
1706,acertado,178,1.496
3287,sinceridad,289,1.495
370,satisfacer,2056,1.494
184,observar,3274,1.493
6940,desagradable,347,1.493
34,querer,99708,1.492
8763,interacionaciona,85,1.489
4055,discutible,228,1.488
5170,frustrar,120,1.487
366,presentar,18748,1.485
1517,perjuicio,723,1.485
3846,apuesta,181,1.485
1261,conservar,1805,1.484
3355,fuga,128,1.484
1866,defecto,645,1.483
3695,cuadro,455,1.483
6934,escalofriante,40,1.482
7570,exclamación,86,1.482
187,cumplir,10127,1.481
3102,estímulo,811,1.479
3350,presunto,233,1.479
7616,fantasma,208,1.478
352,recoger,1121,1.477
3558,abandono,499,1.475
8391,espeluznante,59,1.475
6461,audaz,244,1.474
8669,guardería,160,1.474
2886,cargado,93,1.473
4670,salón,218,1.472
6041,alcantarillado,67,1.472
1609,trasladar,965,1.471
8139,descarado,42,1.471
10865,antiterrorista,355,1.471
770,disparar,467,1.47
2855,atento,370,1.47
61,tanto,65258,1.469
3281,rigor,723,1.468
8530,desvincular,47,1.468
3718,legitimación,160,1.466
7353,egoísmo,266,1.465
379,disminución,612,1.464
982,habitual,1065,1.464
1778,ajeno,115,1.464
46,ese,126552,1.46
197,fin,18060,1.46
6444,estancar,95,1.46
344,entrar,6059,1.459
483,conforme,1433,1.459
10,retomar,173,1.458
3907,especializado,759,1.457
2124,solucionar,2173,1.455
18,aplazamiento,725,1.454
453,corresponder,1149,1.454
4281,divulgación,124,1.454
843,juicio,2992,1.451
2648,agente,2061,1.451
11089,cafetería,54,1.451
1192,diferenciar,422,1.45
2859,prudente,637,1.449
2878,difuso,66,1.449
784,escalera,241,1.448
1160,contrario,7383,1.447
343,llegar,14619,1.446
1481,cita,631,1.446
6314,floreciente,86,1.446
220,poco,16166,1.444
12039,trasero,65,1.442
3721,adquisición,609,1.441
1879,vigilancia,2285,1.439
2241,cultivo,1767,1.439
1193,destacado,326,1.438
6051,pronóstico,183,1.438
965,relacionado,6681,1.436
2396,insuficiencia,283,1.435
272,mucho,133902,1.434
989,favorecer,1627,1.434
360,tipo,20466,1.433
545,elaborar,4325,1.433
47,tener,209107,1.431
62,ya,50015,1.431
1582,limitación,2082,1.431
4601,saco,80,1.431
9870,saqueo,148,1.431
7884,angustia,140,1.43
2099,bajar,578,1.429
3487,defensora,135,1.429
362,penalización,227,1.428
2023,inferior,1490,1.428
4004,arraigado,211,1.426
2009,inútil,610,1.424
4395,comunitarización,240,1.42
4112,cordial,151,1.419
8255,transformador,166,1.419
8661,dispersión,98,1.419
157,preocupar,5475,1.418
330,suscitar,436,1.416
496,conjunto,11362,1.414
3978,adelantar,111,1.414
525,mantener,15141,1.413
1433,ancho,133,1.413
2726,reactivar,168,1.413
2798,ampliamente,928,1.413
5039,consternado,104,1.413
8128,secuestro,392,1.413
1237,carencia,629,1.411
5275,peculiaridad,140,1.411
8910,deslizar,114,1.411
1195,celebrar,5158,1.407
3087,inequívoco,682,1.405
4657,detractor,109,1.405
12031,porcino,134,1.404
4282,divulgar,96,1.402
5719,celeridad,59,1.402
325,permitir,33437,1.399
1124,formado,314,1.399
4142,cruzado,82,1.399
5820,151100,131,1.399
40,su,254284,1.398
8879,asombrado,71,1.398
1394,camino,8660,1.397
1989,realización,535,1.397
5009,portavoz,385,1.397
688,bastante,6415,1.395
10702,despiadado,96,1.394
2390,salida,488,1.393
4382,denuncia,339,1.393
4771,designación,536,1.393
