,words,amounts,entropies
166,τηρώ,2606,2.346
1701,τρομακτικός,536,2.293
206,μεγάλος,41670,2.234
3152,υποβαθμίζω,208,2.17
1008,δυνατότητα,12301,2.124
1892,αποτρόπαιος,118,2.12
1666,ταχύς,1967,2.118
167,τήρηση,697,2.101
1700,φρικτός,217,2.1
138,κυρίως,9690,2.088
21,διακοπή,887,2.069
55,ευχάριστος,404,2.033
2105,αυστηρότητα,263,2.032
2821,διαρκής,514,2.019
934,συνηθίζω,562,2.015
1504,καθορισμός,1061,2
1917,αυστηρός,3187,1.993
2340,μετριάζω,198,1.99
414,ανατρέπω,241,1.989
236,ανάλογος,704,1.98
1197,μεταφέρω,1825,1.973
2733,αναζωογόνηση,175,1.973
606,στοιχείο,10707,1.966
3262,διαχωρισμός,876,1.946
680,εξέταση,1854,1.937
3210,κατηγορηματικά,393,1.934
803,έντονος,1168,1.928
725,ενίσχυση,9570,1.927
7428,αναστάτωση,87,1.922
791,ουσιαστικά,2353,1.911
1983,ανεπάρκεια,370,1.908
1630,διάλυση,295,1.903
330,θέτω,8354,1.895
3335,θερμός,423,1.891
2094,παρατεταμένος,191,1.888
2812,αντίθεση,1641,1.887
7470,αναταραχή,386,1.887
996,ολοκληρώνω,6268,1.886
713,διατήρηση,3555,1.873
2345,αδιαμφισβήτητα,167,1.873
4838,πληθώρα,109,1.873
2238,αξιοποιώ,419,1.869
1626,διαλύω,269,1.862
5038,εξειδικεύω,145,1.861
13,θεωρώ,10159,1.86
377,αντιμετωπίζω,9207,1.86
1450,διευρύνω,1082,1.86
1451,ευρύς,4309,1.856
2337,ελάφρυνση,73,1.852
12,εγώ,81276,1.85
7284,ενοχλώ,187,1.85
8752,αλληλένδετος,79,1.85
1188,αντιμετώπιση,3989,1.849
1103,ορίζω,3319,1.848
286,απόλυτα,7027,1.842
1997,εκπληκτικός,635,1.841
1698,φοβερός,265,1.84
1129,χαρακτηρίζω,1072,1.834
3404,αξιόλογος,311,1.829
929,πορεία,1926,1.827
961,φορέας,1948,1.824
382,ικανοποιώ,2285,1.822
4371,περίεργος,772,1.817
1763,ακρίβεια,505,1.816
2240,αξιοποίηση,136,1.816
3381,προβλεπόμενος,136,1.816
5106,ωραία,150,1.816
1459,απόκλιση,370,1.814
2587,παρεμποδίζω,629,1.812
4347,ανόητος,193,1.81
4446,υπέρμαχος,233,1.804
1803,ρίχνω,270,1.803
3359,απερίφραστα,63,1.803
1957,ταχέως,701,1.801
445,έναρξη,2578,1.799
1739,ειδικεύω,179,1.797
2652,άρση,599,1.796
2215,ενοχλητικός,179,1.795
8746,βυθίζω,210,1.795
273,συνδυασμός,1617,1.779
1699,τρομερός,333,1.778
2761,άδεια,2240,1.771
9,μου,371316,1.767
2691,παρεμπόδιση,53,1.765
3908,αμηχανία,64,1.765
4944,συνετός,295,1.765
3629,θλιβερής,160,1.763
3859,αδιαμφισβήτητος,88,1.763
173,σκοπός,6624,1.757
1528,τυχαίος,199,1.756
2651,κατάργηση,1751,1.756
1490,έντονα,463,1.755
4770,αγωνία,121,1.753
64,διαπιστώνω,2628,1.75
235,σκόπιμος,496,1.747
4407,νομιμοποίηση,426,1.747
7975,άγρια,192,1.747
2428,εντοπισμός,425,1.746
3256,οπισθοδρόμηση,84,1.743
3688,διαμόρφωση,425,1.736
2213,ενόχληση,68,1.734
807,συνάδω,243,1.729
2209,μετατροπή,480,1.729
5367,χαράζω,54,1.729
2,επανέναρξη,184,1.728
6826,διακριτικός,187,1.728
7256,συγκαλύπτω,124,1.722
720,οδός,866,1.72
5603,σύνεση,210,1.717
968,καθορίζω,3988,1.71
9233,λεηλασία,96,1.709
1966,επιφυλακτικός,247,1.706
804,ένθερμος,68,1.705
645,εσφαλμένος,420,1.702
6819,ναυτικός,562,1.702
1510,ένταξη,4046,1.701
309,αφορώ,22629,1.696
6062,ιδιαιτερότητα,336,1.695
684,επισημαίνω,7413,1.694
2388,δυσαρέσκεια,295,1.692
5042,εύλογα,56,1.688
3414,αναθέτω,433,1.687
5315,απαλλάσσω,108,1.686
2206,γρήγορος,660,1.682
1143,επαναφορά,118,1.681
686,εκτός,5634,1.68
701,χαρά,1397,1.679
3060,δεσμεύω,1237,1.679
1392,αποδίδω,625,1.674
1850,εν,210,1.674
5573,φοβίζω,71,1.671
5952,εικασία,85,1.671
3253,λαμπρός,104,1.67
9305,παραδόξως,98,1.67
4727,απεριόριστος,148,1.667
326,συνέχεια,2263,1.666
3399,κατηγορηματικός,123,1.666
577,συνεχώς,1353,1.665
1669,σύντομος,2909,1.664
1935,θερμά,1314,1.664
1996,καταπληκτικός,355,1.661
2953,ανώτερος,311,1.659
2136,δεξαμενή,130,1.657
2846,ανατροπή,137,1.657
3858,αναμφισβήτητος,114,1.656
6125,παύση,157,1.65
1,επανάληψη,575,1.647
2107,προσδιορισμός,359,1.646
1453,διαφοροποίηση,1064,1.643
1492,αντίστοιχος,1035,1.643
1789,άνω,987,1.642
5043,παρακινώ,103,1.641
123,κατά,44416,1.636
7292,παρωδία,64,1.635
565,εκπονώ,917,1.633
612,σωστά,3890,1.631
1115,επιπλέον,8905,1.63
2538,ατέλεια,113,1.628
4959,ε,211,1.627
2903,χτυπώ,421,1.621
3318,αποφασιστικά,415,1.62
410,κοινό,6431,1.619
1158,προβλέπω,3618,1.619
4369,ανέφικτος,123,1.616
3628,θλιβερός,212,1.614
636,επίλυση,2848,1.611
54,χαίρω,609,1.61
41,μπορώ,112219,1.609
554,απόλυτος,1723,1.608
3010,θλίψη,200,1.606
2514,επανεξετάζω,798,1.605
2063,πρόβλεψη,1050,1.603
2836,υποταγή,68,1.6
10406,μανία,28,1.6
4303,δύσαρεστος,125,1.597
3369,αδικαιολόγητος,386,1.596
1918,αυστηρά,890,1.595
2117,ασκώ,1889,1.595
4183,διατροφή,978,1.594
3011,καταργώ,1077,1.592
10572,φούρνος,31,1.592
578,διαρκώς,893,1.591
5056,εξοργίζω,58,1.585
1890,εαυτός,556,1.584
2700,βαραίνω,69,1.583
4138,επιβαρύνω,251,1.583
199,κανένας,14052,1.582
348,μπροστά,2058,1.579
11209,αποκάλυψη,109,1.579
1794,συνεχής,1694,1.578
792,τελικά,3646,1.577
1541,δρόμος,4648,1.576
2650,εξάλειψη,1382,1.576
3536,δυναμικά,142,1.573
401,βασικός,11203,1.571
574,συνέπεια,10835,1.569
7589,αναδιατύπωση,110,1.569
4873,υποτιθέμενος,189,1.568
11126,υποχωρώ,43,1.568
1542,συμμετέχω,5265,1.567
5087,χρηματοδότης,93,1.567
1852,φορτία,43,1.565
2999,ειλικρίνεια,346,1.565
512,βάρος,3927,1.563
3208,συρρίκνωση,43,1.562
402,ουσιαστικός,1718,1.561
1058,μέσο,8250,1.557
6772,έξυπνος,237,1.556
540,μένω,1725,1.553
581,σταθερός,2052,1.553
888,επιβεβαίωση,264,1.553
2115,κάτω,3016,1.553
3415,ανάθεση,124,1.552
7725,κατακλύζω,41,1.552
2251,διαφοροποιώ,465,1.551
1971,δυσπιστία,269,1.547
2592,διάσπαση,50,1.546
3287,περιφρομαι,61,1.546
614,ορθό,1402,1.543
10424,παραπλάνηση,49,1.543
461,αρχικά,1985,1.541
2077,ενοποίηση,554,1.541
6794,εκτροφή,117,1.54
1995,υπέροχος,599,1.539
2241,πιθανότητα,2217,1.538
10767,αδρανής,37,1.538
1363,εφαρμόσιμος,167,1.537
6319,εκρίζωση,130,1.537
5391,μεταδίδω,256,1.534
6533,ταχυδρομείο,140,1.532
5983,έκπληξη,785,1.53
8491,συμπρόεδρος,53,1.528
1897,υπογραμμίζω,5213,1.527
3269,μεγαλύτερος,506,1.526
1398,διορθωτικός,316,1.525
2594,φάντασμα,104,1.525
2473,κακομεταχείριση,122,1.523
4418,τολμηρός,181,1.522
