,words,amounts,entropies
2159,register,448,2.452
2036,remove,1463,2.423
1816,divide,777,2.357
2683,skilled,195,2.349
61,break,778,2.305
1023,teach,937,2.259
706,build,3280,2.226
1057,devise,269,2.206
160,establish,4491,2.196
585,mix,429,2.195
4469,invent,197,2.193
2674,award,545,2.191
127,pleased,2761,2.182
3461,ease,249,2.181
377,meet,4772,2.158
3321,sophisticated,149,2.147
278,subordinate,100,2.145
180,neglect,394,2.139
145,cool,183,2.131
129,delighted,779,2.127
218,set,5800,2.122
1235,safeguard,2034,2.105
5923,master,72,2.103
2409,harm,727,2.102
2807,%,1555,2.1
5491,expel,133,2.091
192,place,8546,2.087
2629,appalling,266,2.081
3516,unhappy,98,2.078
1938,shift,471,2.077
2172,contradict,180,2.076
128,happy,1573,2.072
9974,cry,171,2.068
123,love,1698,2.066
8627,wash,108,2.054
6794,circumvent,135,2.047
8401,radio,268,2.047
1292,plant,2362,2.039
1486,confused,141,2.035
41,so,38236,2.029
3639,contributor,133,2.022
169,look,7203,2.012
314,call,12839,2.012
664,involve,3098,2.011
1259,remember,3447,2.01
304,delegate,161,2.006
228,damage,2142,1.999
3493,ill,177,1.998
48,feel,4801,1.994
6692,shocked,154,1.992
1291,channel,551,1.985
3456,alleviate,211,1.981
7041,brutality,101,1.976
1022,learn,2682,1.971
2611,site,681,1.969
2627,dreadful,172,1.962
697,enter,1694,1.955
1815,separate,1334,1.952
657,establishment,1954,1.941
4579,stone,224,1.94
6782,counterfeit,253,1.931
5591,sight,96,1.928
1759,oppose,1009,1.925
2809,percent,452,1.922
1410,heat,346,1.92
1831,classify,206,1.92
4254,guard,138,1.915
158,since,14743,1.911
330,particular,16516,1.91
7539,rock,179,1.909
1817,split,269,1.906
6879,peer,58,1.905
3016,vigilant,173,1.902
2155,eat,547,1.9
2854,endure,103,1.899
4058,flourish,91,1.899
3145,consolidate,866,1.897
3535,conceal,274,1.895
6201,save,2039,1.895
409,grade,107,1.889
2158,record,1043,1.889
630,endorse,1616,1.887
6904,bury,93,1.886
822,share,5292,1.885
1079,consistently,202,1.884
23,time,34442,1.877
191,carry,2220,1.875
1452,paper,1610,1.869
3226,passage,147,1.869
3866,flee,215,1.869
743,introduce,3486,1.865
1196,charge,1251,1.865
7589,outdated,180,1.865
2308,construct,324,1.863
2759,pull,126,1.863
280,come,10479,1.86
