,words,amounts,entropies
2673,shocked,297,2.329
755,drop,907,2.198
983,charge,2103,2.19
782,link,6564,2.162
10239,decouple,163,2.157
250,claim,2427,2.12
129,look,16332,2.088
326,concerned,9179,2.071
734,provide,19495,2.059
244,call,25018,2.055
2858,abolish,1562,2.054
694,collect,1406,2.048
7606,dissent,106,2.045
3525,disguise,234,2.041
1152,emphatically,194,2.038
1935,record,2183,2.038
171,bring,7747,2.037
8422,plot,177,2.017
174,collapse,1069,2.01
951,tune,142,1.982
133,regard,22565,1.972
4907,fan,279,1.966
3184,wipe,173,1.952
189,set,12252,1.944
221,warmly,637,1.941
4181,strand,109,1.935
727,sentence,2388,1.934
2947,warm,513,1.934
1475,graduate,386,1.932
1024,advocate,1813,1.926
311,quiet,346,1.925
3311,upheaval,103,1.915
5472,purse,84,1.903
467,back,5702,1.902
2821,pot,117,1.897
1202,found,1056,1.891
3348,rush,258,1.891
155,upset,156,1.888
2633,gap,2029,1.886
1031,welcome,10117,1.885
386,emphasise,5533,1.881
3656,neglect,540,1.878
2492,hurt,268,1.877
1060,sketch,150,1.873
6980,plunge,103,1.872
329,involve,5353,1.867
955,consistently,548,1.865
518,encourage,7704,1.864
1828,outline,712,1.864
3685,drain,99,1.861
233,shocking,319,1.859
3181,scrap,157,1.859
389,stress,6371,1.857
1878,award,968,1.853
4716,standstill,72,1.851
4608,bow,102,1.849
1550,astonished,167,1.848
49,so,74124,1.847
2841,alien,184,1.844
693,gather,676,1.843
677,fall,3677,1.84
2244,carve,74,1.838
291,come,17862,1.833
5770,calmly,152,1.831
2787,cast,161,1.828
357,rise,3407,1.826
3,restart,126,1.825
2714,score,202,1.821
4420,flout,93,1.821
4548,hesitant,91,1.82
166,get,9549,1.808
2812,%,1248,1.805
767,turn,4813,1.8
2257,revive,300,1.799
1270,dramatically,463,1.792
3085,away,1204,1.792
3136,tie,861,1.787
5709,sympathetic,98,1.787
146,wrong,4195,1.784
10989,cluster,138,1.783
3149,standardise,354,1.782
1645,move,6883,1.781
8468,rotate,278,1.778
25,cut,4935,1.777
7543,peanut,47,1.773
6899,poultry,197,1.772
6519,glass,660,1.768
2012,top,1310,1.766
4040,downturn,161,1.761
14,complete,4730,1.759
5324,shake,195,1.758
3823,beat,192,1.756
270,area,45073,1.755
2003,surrender,199,1.755
1062,carefully,2073,1.754
4220,cautious,429,1.749
3552,locate,541,1.747
3950,prosecute,325,1.747
8793,suffocate,78,1.739
2579,spread,1781,1.738
9549,dig,109,1.738
3815,squander,107,1.736
3495,redeployment,87,1.734
2907,embed,70,1.732
5504,stifle,97,1.731
3558,trace,266,1.726
11338,boil,62,1.724
1812,return,4831,1.723
3298,processing,842,1.723
888,match,372,1.722
4178,hint,105,1.721
1174,improper,142,1.718
3867,revival,151,1.718
1639,shock,188,1.715
4189,split,518,1.715
124,check,3075,1.714
7297,burn,615,1.714
492,draw,6690,1.711
344,engage,1082,1.709
1292,monitor,4100,1.709
3385,arrest,2137,1.705
16,pick,679,1.704
1235,happy,3119,1.703
415,originate,477,1.701
6742,outsource,103,1.701
5769,calm,534,1.7
229,appalling,512,1.699
754,lower,2695,1.697
891,lie,1874,1.697
255,subject,15464,1.696
5682,anchor,130,1.695
764,lead,8859,1.693
1544,mix,974,1.693
3833,dismiss,222,1.693
232,frightening,130,1.692
1564,unrest,164,1.692
648,stir,85,1.691
3063,unquestionably,84,1.691
58,we,362564,1.686
2560,slice,78,1.686
7217,breed,154,1.686
6445,plug,83,1.683
515,impasse,157,1.682
427,burst,96,1.681
5589,overturn,147,1.68
7865,scary,93,1.68
28,disrupt,216,1.676
4599,backbone,100,1.676
570,just,26737,1.673
2823,bowl,83,1.67
480,fit,544,1.668
7206,dealer,191,1.667
8966,usa,322,1.667
758,decline,974,1.663
2643,lock,202,1.663
5240,mess,131,1.663
1861,employ,1063,1.662
2512,drive,1630,1.661
2925,tighten,372,1.659
