,words,amounts,entropies
5356,不安,286,2.757
18344,斯,137,2.669
3636,着,95,2.44
2095,提升,1315,2.416
8693,不满,290,2.389
7952,压抑,138,2.367
3908,厌恶,389,2.344
15116,器,90,2.337
998,惊人,649,2.293
8141,困扰,175,2.291
20379,化,100,2.273
2826,说明,2299,2.265
1479,消灭,415,2.253
1742,曼,85,2.249
9704,免除,340,2.219
2664,激怒,114,2.216
2784,古怪,240,2.194
10479,阿,100,2.192
16102,主义,61,2.178
4256,说法,187,2.163
2940,困惑,380,2.157
25318,卡拉,89,2.148
750,•,398,2.147
6223,对立,75,2.141
9078,编织,154,2.135
1524,改造,687,2.124
4698,阻碍,586,2.12
2848,大幅,266,2.119
4708,转换,1663,2.119
1243,规定,19976,2.118
8843,欺骗,722,2.112
3909,反感,80,2.11
15935,硬化,160,2.107
5285,激发,436,2.098
6620,光辉,98,2.091
3760,多层,262,2.086
296,完全,7322,2.082
29463,n,74,2.08
6292,闪烁,208,2.074
11130,真诚,250,2.071
14489,渗透,243,2.07
4605,反,291,2.063
3030,退化,275,2.061
8106,不利,326,2.06
22865,尔,46,2.057
16730,多元,170,2.053
1317,普遍,1631,2.051
2259,不断,1967,2.05
917,表现,3405,2.049
2695,渴望,799,2.049
1528,翻新,103,2.046
3864,分散,308,2.045
17884,驱逐,159,2.043
4953,严厉,260,2.039
5227,狂热,95,2.036
387,提出,11422,2.033
3696,联系,3480,2.028
1118,符合,5173,2.025
6282,迷惑,76,2.023
8902,年代,247,2.02
913,建议,7965,2.019
5680,扣押,369,2.019
5383,危害,904,2.018
4786,宣传,829,2.013
1632,修正,860,2.005
6073,憎恶,86,2.004
3308,反恐,223,1.999
994,惊奇,385,1.997
6974,辅导,108,1.997
969,经营,4202,1.993
2404,解除,583,1.992
10841,七条,169,1.991
6003,谨慎,441,1.99
8140,沮丧,488,1.99
2769,排斥,234,1.987
15549,倾斜,248,1.987
5731,亵渎,158,1.984
17383,杀菌,79,1.984
3924,出色,312,1.983
2388,有利于,431,1.977
1271,收益,1354,1.975
6102,羞辱,169,1.973
2849,明显,5752,1.969
4801,服装,919,1.969
1757,解决,7823,1.968
2851,少年,350,1.967
1539,破坏,2374,1.963
7566,仁慈,177,1.961
6779,颠覆,82,1.959
8916,救助,185,1.958
8907,无情,91,1.957
14034,预处理,197,1.957
13170,重组,327,1.956
4036,打击,695,1.955
8138,挫败,108,1.955
